@relation train1.5.txt

@attribute Area numeric
@attribute Perim. numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute target {rods,puntcua,networks}

@data
27,30.2,9.62,3.58,136,rods
30.4,21.7,8.43,4.59,121,puntcua
27,22.8,7.12,4.84,155,puntcua
25.4,23.6,6.52,4.95,149,puntcua
32.1,45.3,13.1,3.12,13.6,rods
37.2,30.9,10.7,4.43,102,rods
30.4,20.7,9.65,4.02,171,puntcua
25.4,38.7,7.01,4.61,169,rods
27,28.3,9.05,3.8,74.9,puntcua
37.2,45.8,15.5,3.06,105,rods
25.4,29.4,10.5,3.08,121,rods
33.8,29.1,8.61,5,7.82,rods
38.9,41.7,10,4.93,30,rods
37.2,45.6,11.8,4.01,18.4,rods
35.5,35.4,9.48,4.77,102,rods
25.4,33.5,8.3,3.89,47.2,rods
25.4,24.3,8.43,3.83,105,puntcua
37.2,32.8,9.05,5.23,5.88,rods
28.7,32.8,8.26,4.43,55.8,rods
40.6,30.9,10.5,4.92,2.49,rods
38.9,43.2,10,4.94,71.1,rods
35.5,37.2,9.98,4.53,55.9,rods
35.5,34.3,10,4.5,53.3,rods
40.6,26.9,11.7,4.4,172,rods
25.4,39.1,6.93,4.66,15.3,rods
37.2,30.6,11,4.29,113,rods
40.6,28.3,10.5,4.93,126,rods
30.4,30.9,8.61,4.5,141,rods
35.5,31.7,9.42,4.8,83.1,rods
37.2,35.1,10.3,4.59,175,rods
30.4,33.5,6.53,5.93,35.4,rods
25.4,29.9,8.13,3.97,23.4,rods
25.4,30.2,7.15,4.51,67.4,rods
37.2,30.9,9.98,4.74,7.37,rods
37.2,38,7.97,5.94,42.7,rods
35.5,30.9,11.4,3.98,157,rods
27,34.6,9.93,3.47,6.28,rods
27,19.9,7.52,4.58,20.4,puntcua
32.1,22.8,8.23,4.97,170,puntcua
38.9,34.6,9.82,5.04,39.2,rods
27,29.9,9.13,3.77,139,rods
28.7,23.6,6.71,5.45,54.3,puntcua
38.9,34.3,14.7,3.37,179,rods
28.7,33.5,10.3,3.56,82.8,rods
38.9,35.7,11.9,4.17,35.3,rods
37.2,40.9,9.86,4.8,146,rods
38.9,35.4,13.4,3.7,175,rods
27,21,7.59,4.54,42.2,puntcua
40.6,40.1,10,5.15,154,rods
25.4,22.8,8.13,3.97,1.66,puntcua
27,38,11.7,2.95,168,rods
33.8,39.8,10.5,4.08,159,rods
27,30.9,6.89,5,29.6,rods
32.1,31.7,7.21,5.67,171,rods
33.8,39.1,9.41,4.57,66.5,rods
25.4,30.9,8.61,3.75,21.9,rods
25.4,26.5,8.6,3.75,25,puntcua
27,27.6,7.63,4.51,37.5,puntcua
25.4,34.6,6.66,4.84,136,rods
25.4,29.9,7.03,4.59,133,rods
38.9,37.2,9.52,5.2,102,rods
37.2,42.4,13.2,3.58,36.5,rods
25.4,24.7,7.52,4.29,150,puntcua
33.8,37.5,11.7,3.68,71.5,rods
27,29.1,8.15,4.22,123,rods
27,26.5,8.62,3.99,62.3,puntcua
33.8,29.1,11.8,3.66,58.8,rods
27,23.6,7.12,4.84,40,puntcua
32.1,20.7,7.19,5.68,40.2,puntcua
32.1,46.9,10.8,3.77,95.6,rods
25.4,25.4,6.76,4.78,121,puntcua
35.5,33.5,8.06,5.6,89.3,rods
32.1,33.2,7.54,5.42,158,rods
32.1,29.9,10.7,3.81,101,rods
35.5,26.2,9.35,4.84,102,rods
33.8,31.7,10.3,4.17,112,rods
27,41.2,10.8,3.18,167,rods
37.2,36.1,9.4,5.03,84.3,rods
28.7,37.2,8.54,4.28,41.4,rods
40.6,33.9,9.51,5.43,6,rods
35.5,29.1,9.95,4.54,13.2,rods
33.8,28,10.5,4.1,170,puntcua
35.5,30.6,8.29,5.45,30.5,rods
27,30.9,7.79,4.42,7.23,rods
30.4,29.9,7.95,4.87,1.37,rods
35.5,59.3,12.8,3.52,170,rods
28.7,26.9,8.67,4.22,94.2,puntcua
35.5,37.2,11.1,4.07,79.1,rods
33.8,34.6,11.4,3.78,144,rods
25.4,22.8,6.65,4.85,121,puntcua
25.4,34.6,10.4,3.1,156,rods
40.6,37.5,10.7,4.82,169,rods
27,23.6,6.62,5.2,58.7,puntcua
28.7,21.7,7.59,4.82,22.5,puntcua
30.4,28.3,10.3,3.77,118,puntcua
30.4,30.9,6.64,5.83,10.3,rods
35.5,38.3,10.8,4.18,152,rods
33.8,40.1,12.9,3.33,72.9,rods
35.5,34.6,10.6,4.25,94.6,rods
28.7,30.9,7.28,5.03,38.5,rods
28.7,31.7,10.1,3.62,153,rods
35.5,30.6,11.4,3.96,116,rods
27,25.4,7.02,4.9,178,puntcua
37.2,36.5,10.3,4.62,165,rods
25.4,33.9,7.55,4.28,119,rods
35.5,30.3,11,4.1,84.1,rods
27,26.2,9.7,3.55,161,puntcua
40.6,40.9,12.1,4.29,25.3,rods
33.8,44.3,9.46,4.55,152,rods
32.1,30.9,10.3,3.96,12.8,rods
25.4,34.6,8.21,3.93,16.5,rods
28.7,29.1,8.57,4.27,168,rods
27,26.5,7.69,4.48,144,puntcua
27,24.7,7.98,4.32,4.7,puntcua
30.4,32,8.81,4.4,167,rods
40.6,39.8,10.2,5.05,106,rods
30.4,47.2,7.24,5.35,141,rods
27,21,8.34,4.13,157,puntcua
37.2,31.7,7,6.76,115,rods
30.4,31.4,9.85,3.93,127,rods
38.9,37.5,11.3,4.38,67.9,rods
37.2,44.6,13.1,3.61,11,rods
30.4,36.9,11.6,3.34,141,rods
30.4,28.8,10.6,3.65,168,puntcua
37.2,34.6,10.6,4.46,145,rods
32.1,38.3,8.47,4.83,91.5,rods
27,35.1,11.9,2.88,103,rods
33.8,32,10.4,4.13,91.8,rods
27,35.4,6.77,5.08,173,rods
30.4,27.3,11,3.53,76.6,puntcua
40.6,51.9,9.01,5.73,49.8,rods
40.6,32.5,10.4,4.97,111,rods
25.4,37.2,10.5,3.08,73.6,rods
37.2,23.6,8.36,5.66,73.5,rods
32.1,28,9.67,4.23,81.2,puntcua
40.6,38,12.7,4.06,153,rods
25.4,27.3,7.77,4.16,64.1,puntcua
30.4,25.4,7.16,5.41,102,puntcua
27,30.2,9.27,3.72,39.5,rods
27,35.4,10.1,3.4,9.63,rods
28.7,42,9.8,3.73,133,rods
25.4,39.1,7.77,4.15,128,rods
27,26.5,10.5,3.27,165,puntcua
38.9,44.3,10,4.94,67.7,rods
27,26.2,8.46,4.07,73.9,puntcua
27,44.6,6.96,4.94,164,rods
37.2,51.6,10.5,4.51,136,rods
32.1,46.4,10.4,3.94,152,rods
25.4,30.9,7.27,4.44,176,rods
28.7,32,7.5,4.88,34.2,rods
25.4,26.5,7.16,4.51,38.7,puntcua
37.2,33.5,10.8,4.38,91.3,rods
27,30.9,6.8,5.06,152,rods
25.4,36.6,12.6,2.55,178,rods
25.4,32.8,9.27,3.48,174,rods
40.6,33.5,10.2,5.04,74.3,rods
28.7,25.1,11.1,3.31,174,puntcua
37.2,27.3,10.4,4.54,142,rods
38.9,35.7,9.92,4.99,22.1,rods
28.7,33.9,8.42,4.35,168,rods
27,39.8,7.17,4.8,26.4,rods
37.2,38.3,10.8,4.4,52.6,rods
27,36.5,8.57,4.02,162,rods
35.5,23.6,9.75,4.63,115,rods
30.4,43.5,8.53,4.54,162,rods
30.4,25.4,7.97,4.86,153,puntcua
35.5,33.5,8.4,5.38,8.42,rods
25.4,29.4,9.35,3.45,75.1,rods
38.9,39.8,13.9,3.56,39.9,rods
37.2,34.3,13.4,3.53,178,rods
27,38,8.86,3.88,160,rods
38.9,25.4,8.19,6.04,154,rods
40.6,34.6,11.6,4.45,154,rods
25.4,36.9,11.1,2.91,8.81,rods
25.4,33.5,10.1,3.19,111,rods
30.4,37.2,9.51,4.07,142,rods
28.7,27.3,9.95,3.68,112,puntcua
25.4,29.9,8.14,3.96,110,rods
35.5,43.8,10.2,4.42,24.1,rods
37.2,36.5,11.8,4.01,13.1,rods
27,26.2,7.12,4.84,35.7,puntcua
28.7,23.6,7.63,4.8,44.3,puntcua
25.4,28,7.36,4.38,164,puntcua
30.4,36.5,9.25,4.19,109,rods
35.5,44.6,13.8,3.27,115,rods
25.4,32.8,10,3.23,83.4,rods
30.4,20.7,8.43,4.59,80.8,puntcua
25.4,22.8,8.43,3.83,53.8,puntcua
27,29.9,10.3,3.33,61.8,rods
27,36.1,7.47,4.61,159,rods
37.2,45.6,13.9,3.41,18,rods
35.5,23.6,8.77,5.15,98.5,rods
28.7,38.7,8.27,4.42,90,rods
28.7,26.9,7.16,5.11,57,puntcua
27,23.6,6.91,4.98,167,puntcua
30.4,34.3,6.55,5.92,107,rods
33.8,25.4,9.04,4.76,133,puntcua
32.1,28.3,8.48,4.82,148,puntcua
28.7,26.5,7.18,5.09,136,puntcua
28.7,22.8,9.21,3.97,47.7,puntcua
33.8,45.6,11.1,3.86,176,rods
27,23.6,6.79,5.07,45,puntcua
33.8,24.7,7.35,5.86,53.7,puntcua
38.9,36.1,9.68,5.11,115,rods
33.8,33.5,9.13,4.72,64.8,rods
30.4,23.3,9.38,4.13,111,puntcua
28.7,24.3,9.37,3.9,164,puntcua
27,40.1,6.6,5.22,163,rods
35.5,27.3,11.3,3.99,46.3,rods
30.4,32,7.34,5.28,30.6,rods
38.9,37.2,11.4,4.35,32.7,rods
30.4,22.8,7.55,5.13,7.02,puntcua
32.1,29.1,8.75,4.67,155,rods
38.9,35.4,13.3,3.73,71.7,rods
40.6,21.7,8.04,6.42,20.6,rods
28.7,34.3,9.29,3.94,121,rods
32.1,30.6,9.82,4.17,19.7,rods
37.2,39.1,10,4.72,156,rods
28.7,20.7,7.68,4.76,1.46,puntcua
33.8,46.4,10,4.29,29.9,rods
40.6,47.5,12.2,4.23,74.7,rods
27,34.6,8.03,4.29,19.4,rods
38.9,29.9,12.1,4.08,157,rods
33.8,36.5,8.63,4.98,145,rods
32.1,21.7,7.25,5.64,11.2,puntcua
32.1,45.3,6.83,5.99,71.5,rods
40.6,33.2,10.3,5.01,16.9,rods
28.7,33.5,7.58,4.82,123,rods
35.5,34,11.9,3.81,84.9,rods
38.9,49.3,8.37,5.91,116,rods
33.8,26.9,9.58,4.49,169,puntcua
27,29.9,8.33,4.13,11.3,rods
27,34.6,6.84,5.03,109,rods
30.4,31.7,7.75,5,150,rods
25.4,32.5,10.1,3.2,160,rods
28.7,32.5,9.15,4,175,rods
32.1,23.9,8.81,4.64,36.8,puntcua
38.9,42.4,12.8,3.87,80.8,rods
40.6,40.9,16.1,3.2,116,rods
25.4,18.8,6.84,4.72,30.5,puntcua
40.6,41.7,12.7,4.07,93.3,rods
37.2,52.2,10.6,4.47,96.3,rods
27,29.1,9.57,3.6,35.1,rods
32.1,39.8,9.64,4.24,121,rods
35.5,31.7,9.96,4.54,109,rods
25.4,27.3,10.4,3.11,22.4,puntcua
35.5,34.3,10.7,4.21,81.4,rods
35.5,50.1,9.55,4.73,166,rods
35.5,37.5,9.71,4.65,111,rods
27,21,7.77,4.43,26.9,puntcua
33.8,31.3,10.2,4.22,170,rods
25.4,32.8,10.4,3.1,118,rods
25.4,36.1,13,2.49,42,rods
33.8,36.1,9.85,4.37,142,rods
28.7,38.3,8.59,4.26,83.3,rods
25.4,33.1,10.8,3,57.5,rods
27,32.5,9.81,3.51,9.38,rods
35.5,27.3,8.31,5.44,68,rods
25.4,25.7,6.1,5.29,21,puntcua
33.8,31.7,9.95,4.32,59.4,rods
25.4,20.7,8.78,3.68,20.3,puntcua
35.5,42.7,10.3,4.4,130,rods
32.1,47.9,9.57,4.27,164,rods
30.4,34.3,8.28,4.68,75.1,rods
40.6,29.1,8.27,6.24,116,rods
37.2,38.7,9.83,4.82,12.1,rods
30.4,46.1,8.16,4.75,139,rods
30.4,33.5,11.4,3.4,145,rods
28.7,38,9.73,3.76,106,rods
30.4,33.9,8.97,4.32,87.6,rods
32.1,25.4,8.46,4.83,17.9,puntcua
38.9,41.3,8.61,5.75,6.62,rods
25.4,37.2,7.69,4.2,6.31,rods
40.6,40.3,12,4.31,157,rods
30.4,32,9.25,4.19,152,rods
30.4,29.1,8.19,4.73,67.7,rods
25.4,27.6,6.21,5.19,64.2,puntcua
27,23.6,9.91,3.47,149,puntcua
35.5,41.7,10.4,4.36,63.6,rods
27,28.3,9.13,3.77,30.4,puntcua
27,23.6,6.97,4.94,8.14,puntcua
37.2,34,8.96,5.28,2.16,rods
35.5,38,9.84,4.59,37.8,rods
30.4,30.6,7.37,5.26,168,rods
27,26.9,7.94,4.34,151,puntcua
35.5,27.3,10.3,4.37,8.58,rods
28.7,21,6.8,5.38,85,puntcua
30.4,58.5,8.89,4.35,178,rods
37.2,32.5,9.08,5.21,162,rods
27,44.3,8.22,4.19,143,rods
27,36.1,9,3.82,104,rods
27,27.3,8.41,4.09,87.1,puntcua
37.2,33.5,10.1,4.7,53.8,rods
32.1,30.9,8.22,4.97,90.6,rods
37.2,40.1,9.47,5,125,rods
35.5,34.6,11.4,3.95,134,rods
40.6,40.1,13.4,3.85,168,rods
32.1,32.8,9.19,4.45,41.6,rods
27,33.2,9.56,3.6,90.8,rods
28.7,30.2,7.11,5.15,142,rods
38.9,40.1,10.2,4.87,130,rods
27,46.4,9.27,3.71,30.3,rods
38.9,46.1,11.4,4.34,136,rods
40.6,39.8,13.7,3.78,144,rods
37.2,29.9,9.45,5.01,65.3,rods
35.5,38.3,8.42,5.37,99.6,rods
25.4,21.7,6.7,4.82,139,puntcua
30.4,26.2,9.94,3.89,60.1,puntcua
28.7,25.4,8.85,4.13,22.7,puntcua
30.4,30.9,7.57,5.12,108,rods
25.4,27.3,7.37,4.38,84.9,puntcua
27,23.9,8.57,4.02,156,puntcua
25.4,31.7,8.83,3.66,41.1,rods
32.1,30.9,7.65,5.35,158,rods
30.4,27.3,8.79,4.4,138,puntcua
30.4,46.4,7.31,5.3,153,rods
33.8,42.4,9.91,4.34,96.9,rods
30.4,43.5,6.7,5.78,35.8,rods
27,38.7,10.3,3.35,11.1,rods
32.1,28.3,6.71,6.09,107,puntcua
37.2,41.7,11.4,4.17,160,rods
38.9,29.1,9.17,5.4,114,rods
33.8,29.1,9.93,4.33,173,rods
30.4,41.2,6.83,5.67,141,rods
28.7,40.9,8.62,4.25,31.7,rods
27,29.1,8.45,4.07,14.8,rods
38.9,39.8,7.64,6.48,167,rods
32.1,32.8,7.24,5.64,51.4,rods
35.5,24.3,7.14,6.33,58.8,rods
25.4,21.7,6.16,5.24,61.6,puntcua
30.4,22.8,6.91,5.61,24.6,puntcua
35.5,29.4,6.93,6.52,164,rods
35.5,30.6,10.4,4.35,84.8,rods
35.5,40.6,8.89,5.08,157,rods
38.9,22.8,7.75,6.39,46.3,rods
25.4,35.8,6.26,5.15,95,rods
28.7,25.4,7.91,4.62,40.9,puntcua
27,36.1,9.84,3.5,165,rods
25.4,37.2,9.59,3.36,173,rods
27,28,6.35,5.42,35.7,puntcua
30.4,24.7,7.14,5.43,76.7,puntcua
38.9,40.1,10.1,4.91,8.6,rods
27,31.7,9.47,3.63,59.4,rods
30.4,25.4,8.92,4.34,163,puntcua
35.5,50.1,7.51,6.02,81.5,rods
28.7,30.9,9.76,3.75,153,rods
33.8,36.1,8.7,4.95,80.2,rods
35.5,26.5,7.81,5.79,23.2,rods
33.8,27.3,9.59,4.49,15.9,puntcua
30.4,24.7,6.89,5.63,140,puntcua
27,29.1,6.84,5.03,8,rods
33.8,31.4,10.9,3.93,170,rods
37.2,42.7,12.2,3.87,98.1,rods
37.2,36.5,9.51,4.98,70.8,rods
25.4,24.3,5.87,5.5,120,puntcua
27,25.4,6.87,5.01,113,puntcua
27,20.7,7.39,4.66,163,puntcua
33.8,38.3,9.23,4.66,2.52,rods
27,27.3,8.69,3.96,46.7,puntcua
33.8,25.4,8.31,5.18,49.5,puntcua
27,29.1,10,3.43,179,rods
40.6,44.3,9.19,5.62,27.6,rods
38.9,35.4,10.3,4.79,135,rods
38.9,32.8,11.8,4.18,176,rods
37.2,33.5,10.7,4.44,85.1,rods
25.4,37.2,9.19,3.51,99.7,rods
28.7,32.5,10,3.65,140,rods
35.5,34.6,8.32,5.43,22.1,rods
35.5,38,9.39,4.81,28.2,rods
25.4,32.5,10.7,3.02,151,rods
27,29.9,9.17,3.76,174,rods
33.8,29.1,8.63,4.99,98.1,rods
35.5,32.8,11.7,3.88,111,rods
33.8,22.8,7.23,5.95,118,puntcua
32.1,33.9,10.9,3.75,126,rods
32.1,37.2,7.96,5.14,164,rods
38.9,47.5,12.6,3.92,25.5,rods
28.7,34.3,8.16,4.48,25.6,rods
28.7,23.6,7.49,4.88,116,puntcua
32.1,32.5,9.8,4.17,79.6,rods
25.4,25.4,10.7,3.02,134,puntcua
25.4,22.8,9.72,3.32,153,puntcua
35.5,40.1,9.82,4.6,56.2,rods
33.8,24.7,7.83,5.5,172,puntcua
40.6,40.1,9.9,5.21,37.7,rods
38.9,29.9,10.7,4.61,178,rods
25.4,23.6,7.38,4.37,113,puntcua
32.1,38,11.7,3.48,7.08,rods
38.9,34.3,11.8,4.18,112,rods
32.1,33.5,12.1,3.39,10.2,rods
30.4,34.6,7.18,5.39,33.5,rods
27,27.3,6.25,5.51,59.7,puntcua
35.5,34.3,9.79,4.61,146,rods
35.5,33.5,8.71,5.19,28.7,rods
37.2,30.6,9.27,5.11,147,rods
27,29.9,7.3,4.71,161,rods
28.7,26.2,9.39,3.89,21.3,puntcua
33.8,23.6,8.5,5.06,82.2,puntcua
35.5,24.7,9.33,4.84,134,rods
27,27.3,7.82,4.4,37.5,puntcua
38.9,40.1,11.7,4.22,174,rods
25.4,21.7,7.88,4.09,155,puntcua
40.6,47.9,12.5,4.12,155,rods
25.4,38.3,8.39,3.84,120,rods
33.8,26.2,10.7,4.03,64.1,puntcua
35.5,38,7.98,5.66,114,rods
35.5,36.5,9.11,4.96,22.7,rods
25.4,39.8,10.1,3.2,111,rods
40.6,51.9,9.41,5.49,82.4,rods
40.6,56,12.6,4.09,153,rods
33.8,28.3,9.84,4.37,105,puntcua
30.4,33.5,11.7,3.32,153,rods
40.6,28,10.5,4.91,37,rods
32.1,35.1,12.8,3.19,167,rods
35.5,27.7,11.2,4.02,174,rods
35.5,36.5,7.18,6.29,33.4,rods
37.2,34.3,8.7,5.44,36.9,rods
27,20.7,8.86,3.89,177,puntcua
40.6,29.5,11.9,4.33,87,rods
40.6,27.3,10.9,4.74,148,rods
37.2,36.9,7.99,5.93,45.3,rods
35.5,29.9,8.91,5.07,54.6,rods
30.4,26.2,9.39,4.12,27.9,puntcua
33.8,42.1,17,2.53,163,rods
28.7,23.6,7.7,4.75,153,puntcua
25.4,27.3,9.97,3.24,41.2,puntcua
35.5,27.3,12.6,3.6,54.3,rods
32.1,26.2,8.59,4.76,73.1,puntcua
30.4,35.4,10.7,3.61,4.39,rods
32.1,27.3,10,4.08,30.8,puntcua
27,22.8,7.87,4.37,148,puntcua
27,35.4,9.63,3.57,113,rods
28.7,22.5,9.16,3.99,93.2,puntcua
25.4,29.1,6.87,4.7,66.7,rods
30.4,30.6,10.8,3.6,72.2,rods
35.5,39.5,11.1,4.08,53,rods
35.5,35.7,14.5,3.11,138,rods
35.5,31.7,9.09,4.97,83.2,rods
37.2,30.6,11,4.29,10.2,rods
38.9,31.7,8.95,5.53,21.8,rods
28.7,23.6,8.62,4.24,26.2,puntcua
37.2,32.8,13,3.63,143,rods
27,26.2,9.72,3.54,175,puntcua
25.4,24.7,8.56,3.77,93,puntcua
37.2,30.6,11.1,4.28,100,rods
30.4,26.2,9.64,4.02,142,puntcua
30.4,22.5,10.1,3.83,22.8,puntcua
28.7,27.7,12.7,2.89,15,puntcua
33.8,27.3,7.62,5.65,109,puntcua
33.8,29.9,9.82,4.38,84.1,rods
28.7,19.1,7.01,5.22,120,puntcua
28.7,19.1,7.22,5.06,176,puntcua
25.4,29.9,9.66,3.34,164,rods
33.8,26.2,9.34,4.61,120,puntcua
32.1,32.5,7.88,5.19,85.1,rods
37.2,36.5,11.7,4.05,23.3,rods
27,24.7,10.1,3.4,61.5,puntcua
35.5,26.6,11,4.12,92.7,rods
32.1,30.9,11.2,3.64,67.3,rods
30.4,25.4,8.89,4.36,147,puntcua
35.5,28,8.51,5.31,367,rods
27,21.7,6.67,5.16,95.9,puntcua
30.4,21.7,8.5,4.56,27.7,puntcua
25.4,19.9,6.03,5.35,111,puntcua
32.1,28,8.33,4.91,86.1,puntcua
25.4,20.7,9.07,3.56,169,puntcua
37.2,33.5,12.6,3.76,33.5,rods
28.7,30.2,8.61,4.25,27.3,rods
30.4,36.9,11.7,3.31,167,rods
33.8,28.8,10.1,4.27,4.42,puntcua
38.9,36.1,12,4.13,102,rods
25.4,19.9,7.73,4.18,88.2,puntcua
25.4,18.1,7.77,4.16,5.41,puntcua
28.7,22.8,9.25,3.96,145,puntcua
28.7,33.9,6.78,5.4,47.2,rods
30.4,31.7,7.68,5.04,132,rods
28.7,27.3,8.43,4.34,149,puntcua
32.1,22.5,10.2,4.03,160,puntcua
40.6,30.9,8.43,6.12,160,rods
37.2,34.3,11,4.31,5.9,rods
32.1,42.4,11,3.72,82.7,rods
32.1,23.6,8.2,4.99,104,puntcua
27,29.1,7.38,4.67,99.1,rods
27,26.2,7.83,4.4,167,puntcua
33.8,29.9,10.3,4.19,99.6,rods
32.1,35.1,15.4,2.66,69.8,rods
35.5,24.3,10.3,4.38,60.8,rods
35.5,37.2,8.67,5.21,52,rods
38.9,45.3,16,3.09,35.7,rods
25.4,24.3,8.98,3.6,39.1,puntcua
32.1,43.2,11.4,3.58,166,rods
33.8,34.3,9.31,4.62,137,rods
37.2,32.8,11.9,3.99,138,rods
38.9,28,11.3,4.39,13.5,rods
25.4,33.9,9.71,3.32,73.7,rods
25.4,30.6,11.1,2.91,10.1,rods
40.6,23.6,8.35,6.19,93.9,rods
25.4,18.1,7.45,4.33,61,puntcua
33.8,38.7,10.2,4.22,34.8,rods
27,31.7,11.1,3.1,47.7,rods
28.7,24.3,7.67,4.77,148,puntcua
25.4,23.6,7.27,4.44,142,puntcua
